Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35
1,0,99539,-5889,85243,2306,83398,-37708,1,3760,85243,-17755,59755,-44945,60536,-38223,84356,-38542,58212,-32192,56971,-29674,36946,-47357,56811,-51171,41078,-46168,21266,-34090,42267,-54487,18641,-45300,1
0,0,1,-18829,93035,-36156,-10868,-93597,1,-4549,50874,-67743,34432,-69707,-51685,-97515,5499,-62237,33109,-1,-13151,-45300,-18056,-35734,-20332,-26569,-20468,-18401,-19040,-11593,-16626,-6288,-13738,-2447,1
1,0,1,-3365,1,485,1,-12062,88965,1198,73082,5346,85443,827,54591,299,83775,-13644,75535,-8540,70887,-27502,43385,-12062,57528,-40220,58984,-22145,43100,-17365,60436,-24180,56045,-38238,1
0,0,1,-45161,1,1,71216,-1,0,0,0,0,0,0,-1,14516,54094,-39330,-1,-54467,-69975,1,0,0,1,90695,51613,1,1,-20099,25682,1,-32382,1,1
1,0,1,-2401,94140,6531,92106,-23255,77152,-16399,52798,-20275,56409,-712,34395,-27457,52940,-21780,45107,-17813,5982,-35575,2309,-52879,3286,-65158,13290,-53206,2431,-62197,-5707,-59573,-4608,-65697,1
0,0,2337,-592,-9924,-11949,-763,-11824,14706,6637,3786,-6302,0,0,-4572,-15540,-343,-10196,-11575,-5414,1838,3669,1519,888,3513,-1535,-3240,9223,-7859,732,0,0,-39,12011,1
1,0,97588,-10602,94601,-20800,92806,-28350,85996,-27342,79766,-47929,78225,-50764,74628,-61436,57945,-68086,37852,-73641,36324,-76562,31898,-79753,22792,-81634,13659,-82510,4606,-82395,-4262,-81318,-13832,-80975,1
0,0,0,0,0,0,1,-1,0,0,-1,-1,0,0,0,0,1,1,-1,-1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0
1,0,96355,-7198,1,-14333,1,-21313,1,-36174,92570,-43569,94510,-40668,90392,-46381,98305,-35257,84537,-66020,75346,-60589,69637,-64225,85106,-65440,57577,-69712,25435,-63919,45114,-72779,38895,-73420,1
0,0,-1864,-8459,0,0,0,0,11470,-26810,-45663,-38172,0,0,-33656,38602,-37133,15018,63728,22115,0,0,0,0,-14803,-1326,20645,-2294,0,0,16595,24086,-8208,38065,1
1,0,1,6655,1,-18388,1,-27320,1,-43107,1,-41349,96232,-51874,90711,-59017,89230,-66474,69876,-70997,70645,-76320,63081,-80544,55867,-89128,47211,-86500,40303,-83675,30996,-89093,22995,-89158,1
0,0,1,-54210,1,-1,1,-1,1,36217,1,-41119,1,1,1,-1,1,-29354,1,-93599,1,1,1,1,1,-40888,1,-62745,1,-1,1,-1,1,-1,1
1,0,1,-16316,1,-10169,99999,-15197,1,-19277,94055,-35151,95735,-29785,93719,-34412,94486,-28106,90137,-43383,86043,-47308,82987,-51220,84080,-47137,76224,-58370,65723,-68794,68714,-64537,64727,-67226,1
0,0,1,-86701,1,22280,85492,-39896,1,-12090,1,35147,1,7772,1,-14767,1,-1,1,-1,61831,15803,1,62349,1,-17012,1,35924,1,-66494,1,88428,1,-18826,1
1,0,1,7380,1,3420,1,-5563,1,8764,1,19651,1,20328,1,12785,1,10561,1,27087,1,44758,1,41750,1,20033,1,36743,95603,48641,1,32492,1,46712,1
0,0,50932,-93996,1,26708,-3520,-1,1,-1,43685,-1,0,0,-1,-34265,-37681,3623,1,-1,0,0,0,0,-16253,92236,39752,26501,0,0,1,23188,0,0,1
1,0,99645,6468,1,-1236,97811,2498,96112,2312,99274,7808,89323,10346,94212,5269,88809,11120,86104,8631,81633,11830,83668,14442,81329,13412,79476,13638,79110,15379,77122,15930,70941,12015,1
0,0,0,0,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,0
1,0,67065,2528,66626,5031,57197,18761,8776,34081,63621,12131,62099,14285,78637,10976,58373,18151,14395,41224,53888,21326,51420,22625,48838,23724,46167,24618,43433,25306,40663,25792,1,33036,1
0,0,1,-1,0,0,0,0,1,1,1,-1,-71875,1,0,0,-1,1,1,1,-1,1,1,56250,-1,1,1,1,1,-1,1,1,1,1,0
1,0,1,-612,1,-9834,1,-7649,1,-10605,1,-11073,1,-39489,1,-15616,92124,-31884,86473,-34534,91693,-44072,96060,-46866,81874,-40372,82681,-42231,75784,-38231,80448,-40575,74354,-45039,1
0,0,1,1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,1,-1,1,0,0,0,0,1,-1,-1,1,-1,1,-1,1,0
1,0,96071,7088,1,4296,1,9313,90169,-5144,89263,2580,83250,-6142,87534,9831,76544,280,75206,-5295,65961,-7905,64158,-5929,55677,-7705,58051,-2205,49664,-1251,51310,-15,52099,-182,1
0,0,-1,1,0,0,0,0,-1,1,1,1,0,0,0,0,1,-1,-1,1,1,1,0,0,-1,-1,1,-1,1,1,-1,1,0,0,0
1,0,1,-6182,1,2942,1,-5131,1,-1707,1,-11726,84493,-5202,93392,-6598,69170,-7379,65731,-20367,94910,-31558,80852,-31654,84932,-34838,72529,-29174,73094,-38576,54356,-26284,64207,-39487,1
0,0,1,57820,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-62796,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
1,0,1,-8714,1,-17263,86635,-81779,94817,61053,95473,-41382,88486,-31736,87937,-23433,81051,-62180,12245,-1,90284,11053,62357,-78547,55389,-82868,48136,-86583,40650,-89674,32984,-92128,-13341,-1,1
0,0,-1,-1,0,0,-1,1,1,-37500,0,0,0,0,0,0,1,-1,-1,-1,1,-1,0,0,1,-1,-1,1,-1,-1,0,0,-1,1,0
1,0,1,8380,1,17387,1,-13308,98172,64520,1,47904,1,59113,1,70758,1,82777,1,95099,1,1,98042,1,91624,1,83899,1,74822,1,64358,1,52479,1,1
0,0,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,0,0,1,1,-1,-1,1,-1,1,-1,1,1,1,-1,1,-1,-1,1,1,-1,0
1,0,1,-14236,1,-16256,1,-23656,1,-7514,1,-25010,1,-26161,1,-21975,1,-38606,1,-46162,1,-35519,1,-59661,1,-47643,98820,-49687,1,-75820,1,-75761,1,-84437,1
0,0,1,-1,1,1,1,-1,1,-1,1,-1,1,-1840,1,-1,1,1,1,-85583,1,1,1,-1,0,0,1,1,1,-79141,1,1,1,1,1
1,0,88208,-14639,93408,-11057,92100,-16450,88307,-17036,88462,-31809,85269,-31463,82116,-35924,80681,-33632,75243,-47022,70555,-47153,66150,-50085,61297,-48086,56804,-54629,50179,-59854,47075,-57377,42189,-58086,1
0,0,71253,-2595,41287,-23067,98019,-9473,99709,-10236,1,-10951,58965,1,83726,-1,82270,-17863,80760,-28257,-25914,92730,51933,5456,65493,-20392,93124,-41307,63811,-21901,86136,-87354,-23186,-1,1
1,0,1,-15899,72314,27686,83443,-58388,1,-28207,1,-49863,79962,-12527,76837,14638,1,39337,1,26590,96354,-1891,92599,-91338,1,14803,1,-11582,1,-11129,1,53372,1,-57758,1
0,0,66161,-1,1,1,1,-67321,80893,-40446,1,-1,1,-89375,1,73393,17589,70982,1,78036,1,85268,1,-1,1,85357,1,-8571,95982,-36250,1,65268,1,34732,1
1,0,1,433,1,-1209,1,-2960,1,-7014,97839,-6256,1,-6544,97261,-7917,92561,-13665,94184,-14327,99589,-14248,94815,-13565,89469,-20851,89067,-17909,85644,-18552,83777,-20101,83867,-20766,1
0,0,1,1,1,-1,0,0,0,0,-1,-1,0,0,0,0,-1,1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,1,0,0,0
1,0,91241,4347,94191,2280,94705,5345,93582,1321,91911,6348,92766,12067,92048,6211,88899,12722,83744,14439,80983,11849,77041,14222,75755,11299,73550,13282,66387,15300,70925,10754,65258,11447,1
0,0,1,2461,99672,4861,97545,7143,61745,-1,91036,11147,88462,53640,82077,14137,76929,15189,1,41003,65850,16371,60138,16516,54446,16390,48867,16019,43481,15436,38352,14677,1,1,1
1,0,1,6538,1,20746,1,26281,93051,32213,86773,39039,75474,50082,79555,52321,65954,60756,57619,62999,47807,67135,40553,68840,34384,72082,27712,72386,19296,70682,11372,72688,6990,71444,1
0,0,-1,-1,1,1,1,-14375,0,0,-1,1,1,1,17917,-1,-1,-1,8750,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,0,0,1
1,0,90932,8791,86528,16888,1,16598,55187,68154,70207,36719,16286,42739,57620,46086,51067,49618,31639,12967,37824,54462,31274,55826,24856,56527,18626,56605,12635,56101,6927,55061,12137,67739,1
0,0,-64286,-1,1,82857,1,-1,1,-23393,1,96161,1,-37679,1,-1,1,13839,1,-1,1,-3393,-84286,1,53750,85714,1,1,1,-1,1,-1,1,-1,1
1,0,99025,-5785,99793,-13009,98663,-19430,99374,-25843,92738,-30130,92651,-37965,89812,-43796,84922,-52064,87433,-57075,79016,-59839,74725,-64615,68282,-68479,65247,-73174,61010,-75353,54752,-80278,49195,-83245,1
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-37500,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,1,1,0,0,0,0
1,0,1,-3730,1,-7383,99601,-11039,99838,-9931,98941,-13814,96674,-21695,95288,-25099,91236,-34400,90581,-32152,89991,-34691,87874,-37643,86213,-42990,83172,-43122,81433,-42593,77919,-47977,75115,-50152,1
0,0,94598,-2685,-1,26131,-36393,35639,69258,-63427,1,-3353,-29020,-550,-54852,15452,91921,-46270,1,-50424,-29735,-31454,-73864,37361,83872,-46734,52208,-58130,1,-61393,-9634,20477,-6117,41913,1
1,0,98166,874,98103,-3818,97565,-5699,95947,-6971,99004,-4507,94713,-11102,93369,-12790,94217,-11583,79682,-19200,88274,-17387,86257,-18739,88487,-19689,81813,-21136,78546,-23864,76911,-23095,74323,-23902,1
0,0,0,0,1,51724,0,0,10991,-1,0,0,0,0,-1,-22414,-55711,-83297,76940,63147,0,0,53448,35668,-90302,44828,1,-1,-1,81573,0,0,0,0,1
1,0,84134,-18362,43644,2919,93421,-267,87947,13795,81121,-1789,88559,54991,91714,-57486,75000,-29520,86676,-20104,1,1,46610,-16290,90066,-2778,93358,-1158,61582,-32298,84463,-25706,93323,-1425,1
0,0,1,1,1,-1,0,0,0,0,1,1,1,1,-1,-1,1,-1,-1,1,0,0,1,-1,1,-1,1,1,-1,-1,0,0,0,0,0
1,0,1,1,1,1,91010,1,-26970,1,-83152,1,-1,1,-1,72526,-1,-57779,-1,-42052,-1,-1,-52838,-1,90014,-1,1,-1,1,-1,1,-34686,1,34845,1
0,0,-67935,-1,-1,1,1,63317,3515,-1,-1,-1,1,1,88683,-1,-1,1,83840,1,1,-1,-1,-1,-18856,1,1,-1,-1,-1,-1,1,1,33611,1
1,0,95659,8143,97487,-5667,97165,-8484,96097,-6561,94717,1279,95436,-16795,94612,-19497,99630,-32268,90343,-35902,91428,-27316,90140,-29807,99899,-40747,87244,-34586,92059,-30619,83951,-39061,82166,-41173,1
0,0,8333,-20685,-1,1,-1,1,71875,47173,-82143,-62723,-1,-1,-1,1,-2753,59152,-42113,-42113,-74628,-1,-1,-46801,-1,23810,1,-1,-1,-38914,-1,-1,-1,61458,1
1,0,1,-2259,1,-4494,1,-6682,1,-8799,1,56173,1,-12738,1,-14522,1,32407,1,-17639,99484,-18949,95601,-20081,1,-92284,87280,-21793,82920,-22370,78479,-22765,73992,-22981,1
0,0,-1,1,1,-1,-1,1,0,0,1,1,-1,-18750,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,1,1,1,0,0,-1,-1,0
1,0,1,5812,94525,7418,99952,13231,1,-1911,94846,7033,95713,14644,94862,11224,90896,20119,96741,16265,99695,14258,90784,16410,91667,22431,88423,23571,88568,22511,78324,29576,83574,31166,1
0,0,17188,-1,-1,1,0,0,0,0,-1,1,0,0,-61354,-67708,80521,36146,51979,14375,0,0,-1,-27083,-84792,96250,1,1,-1,67708,0,0,0,0,1
1,0,1,9771,1,12197,1,22574,98602,9237,94930,19211,92992,24288,89241,28343,85529,26721,83656,33129,83393,31698,74829,39597,76193,34658,68452,42746,62764,46031,56791,47033,54252,50903,1
0,0,1667,-35625,0,0,0,0,0,0,0,0,0,0,12292,-55000,22813,82813,1,-42292,0,0,8333,-1,-10625,-16667,1,-76667,-1,18854,0,0,1,-27292,1
1,0,1,16801,99352,16334,94616,33347,91759,22610,91408,37107,84250,46899,81011,49225,78473,48311,65091,56977,56553,58071,55586,64720,48311,55236,43317,69129,35684,76147,33921,66844,22101,78685,1
0,0,63816,1,20833,-1,1,1,87719,30921,-66886,1,-5921,58772,1754,5044,-51535,-1,14254,-3289,32675,-43860,-1,1,80921,-1,1,-6140,1,1,20614,-1,1,1,1
1,0,1,-41457,1,76131,87060,18593,1,-9925,93844,47990,65452,-16080,1,879,97613,-50126,80025,-24497,88065,-19095,1,-12312,93593,10678,92890,-7249,1,-27387,43970,19849,51382,-5402,1
0,0,84783,10598,1,39130,1,-1,66938,8424,1,27038,1,60598,1,35507,1,2672,58424,-43025,1,63496,89130,26585,91033,-33333,1,15942,37681,-1947,1,22464,1,37409,1
1,0,1,28046,1,2477,1,7764,1,4317,98762,33266,1,5489,1,4384,95750,-24598,84371,-8668,1,4150,99933,27376,1,-39056,96414,-2174,86747,23360,94578,-22021,80355,-7329,1
0,0,1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,65625,0,0,1,-1,0
1,0,1,67784,81309,82021,43019,1,20619,80541,-43872,1,-79135,77092,-1,40268,-39046,-58634,-97907,-42822,-73083,-76339,-37671,-97491,41366,-1,41778,-93296,25773,-1,93570,-35222,98816,3446,1
0,0,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,5,0,0,1,-1,1,-1,1
1,0,1,3529,1,18281,1,26968,1,25068,1,28778,1,38643,1,31674,1,65701,1,53846,1,61267,1,59457,89593,68326,89502,71374,85611,67149,74389,85611,71493,75837,1
0,0,1,-1,1,1,-1,-1,1,-1,0,0,0,0,-1,1,1,-1,1,-1,-75000,1,1,-1,1,-1,1,-1,-1,-1,0,0,1,-1,0
1,0,96087,8620,96760,19279,96026,27451,98044,35052,92867,46281,86265,52517,82820,58794,73242,69065,69003,73140,54473,68820,48339,76197,40615,74689,33401,83796,24944,86061,13756,86835,9048,86285,1
0,0,69444,38889,0,0,-32937,69841,0,0,0,0,0,0,20635,-24206,21032,19444,46429,78175,0,0,0,0,73413,27381,76190,63492,0,0,0,0,0,0,1
1,0,1,5070,1,10827,1,19498,1,28453,1,34826,1,38261,94575,42881,89126,50391,75906,58801,80644,59962,79578,62758,66643,63942,59417,69435,49538,72684,47027,71689,33381,75243,1
0,0,1,1,0,0,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,0,0,1,-1,0
1,0,1,4078,1,11982,1,16159,1,27921,98703,30889,92745,37639,91118,39749,81939,46059,78619,46994,79400,56282,70331,58129,67077,59723,58903,60990,53952,60932,45312,63636,40442,62658,1
0,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,1,0
1,0,1,24168,1,48590,1,72973,1,1,1,1,1,1,1,77128,1,1,1,1,74468,1,89647,1,64628,1,38255,1,10819,1,-17370,1,-81383,1,1
0,0,1,1,1,-1,1,1,-1,1,0,0,1,1,0,0,0,0,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,0
1,0,1,-6604,1,62937,1,9557,1,20280,1,-1,1,-40559,1,-15851,1,4895,1,-61538,1,-26573,1,-1,1,-58042,1,-81372,1,-1,1,-78555,1,-48252,1
0,0,1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,0
1,0,92277,7804,92679,16251,89702,24618,84111,35197,78801,42196,70716,46983,70796,56476,60459,64200,51247,64924,39903,66975,34232,68343,23693,76146,18765,73885,9694,71038,2735,77072,-4023,69509,1
0,0,68198,-17314,82332,21908,46643,32862,25795,58304,1,-15194,1060,44523,1060,38869,18681,41168,10567,36353,4325,30745,-83,24936,-2862,19405,-4314,14481,-4779,10349,-4585,7064,-4013,4586,1
1,0,74852,-2811,65680,-5178,80621,2811,85947,2515,63462,8728,71598,7840,73077,5178,78550,-27811,65976,-1479,78698,6953,34615,-18639,65385,2811,61009,-6637,53550,-21154,59024,-14053,56361,2959,1
0,0,39179,-6343,97464,4328,1,1,35821,15299,54478,13060,61567,-82090,57836,67910,66791,-10448,46642,-11567,65574,14792,83209,45522,47015,16418,49309,14630,32463,-2612,39118,13521,34411,12755,1
1,0,67547,4528,76981,-10566,77358,3774,66038,-4528,64528,1132,66792,-13962,72075,-2264,76981,8679,61887,-7925,75849,-23774,73962,-14717,84906,-15094,73886,-5801,66792,2264,86415,3774,73208,755,1
0,0,72727,-5000,89241,3462,1,72727,66364,-5909,48182,-16818,81809,9559,56818,1,50455,21818,66818,10000,1,-30000,98636,-1,57273,32727,56982,14673,42273,8182,48927,14643,1,1,1
1,0,57647,-1569,40392,0,38431,12941,40000,-5882,56471,14118,46667,8235,52549,-5490,58039,1569,50196,0,45882,6667,58039,8235,49804,392,48601,10039,46275,8235,45098,23529,43137,17255,1
0,0,41932,12482,35000,12500,23182,27955,-3636,44318,4517,36194,-19091,33636,-13350,27322,2727,40455,-34773,12727,-20028,5078,-18636,36364,-14003,-4802,-9971,-7114,-1,-1,-2916,-7464,-526,-6314,1
1,0,88305,-21996,1,36373,82403,19206,85086,5901,90558,-4292,85193,25000,77897,25322,69206,57940,71030,39056,73176,27575,1,34871,56760,52039,69811,53235,80901,58584,43026,70923,52361,54185,1
0,0,84557,-8580,-31745,-80553,-8961,-56435,80648,4576,89514,-763,-18494,63966,-20019,-68065,85701,-11344,77979,-15729,-6959,50810,-34128,80934,78932,-3718,70882,-25288,77884,-14109,-21354,-78170,-18494,-59867,1
1,0,70870,-24783,64348,4348,45217,38261,65217,18261,5,26957,57826,-23043,50435,37826,38696,-42609,36087,-26087,26957,11739,53246,-3845,31304,-12174,49930,-4264,48348,-4448,64348,-25217,50435,14783,1
0,0,-54180,14861,-33746,73375,52012,-13932,31889,-6811,20743,-15170,47368,8978,56347,-15480,16409,45201,33746,3406,50464,7121,-63777,-61610,1,65635,41348,-40116,-15170,11146,2399,55820,52632,-8978,1
1,0,29202,13582,45331,16808,51783,-509,52632,20883,52462,-16638,47368,-4754,55518,3905,81664,-22411,42445,-4244,34975,6621,28183,-20883,51731,-3176,50369,-3351,34635,9847,70798,-1868,39559,-3226,1
0,0,79157,16851,0,0,56541,6874,39468,1,38359,99557,-2439,53215,23725,12860,-2661,95122,-50998,84922,-10200,38803,-42572,23725,-91574,80710,-34146,88248,-1,69401,-1,12860,0,0,1
1,0,90116,16607,79299,37379,72990,50515,59784,72997,44303,81152,24412,87493,6438,85038,-12611,87396,-28739,79617,-46635,65924,-57135,53805,-68159,39951,-71844,25835,-72369,11218,-71475,-5525,-67699,-19904,1
1,0,97714,19049,82683,46259,71771,58732,47968,84278,31409,92643,10289,93945,-13254,84290,-32020,91624,-52145,79525,-68274,49508,-77408,33537,-85376,17849,-83314,-1358,-82366,-19321,-67289,-33662,-59943,-49700,1
0,0,-1,-1,0,0,50814,-78502,60586,32899,-1,-41368,0,0,0,0,1,-26710,36482,-63518,97068,-1,-1,-1,1,-59609,-1,-1,-1,-1,1,-1,0,0,1
1,0,74084,4974,79074,2543,78575,3793,66230,9948,67801,31152,75934,7348,74695,8442,70681,-7853,63613,0,70021,11355,68183,12185,67016,15445,64158,13608,65707,17539,59759,14697,57455,15114,1
0,0,1,-1,0,0,77941,-99265,80882,55147,-41912,-94853,0,0,0,0,72059,-77206,73529,-60294,0,0,18382,-1,-1,-1,-1,-1,1,-1,1,-1,0,0,1
1,0,1,1709,96215,-3142,1,-3436,1,-5071,99026,-7092,99173,-9002,1,-15727,1,-14257,98310,-11813,1,-18519,1,-19272,98971,-22083,96490,-20243,94599,-17123,96436,-22561,87011,-23296,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0
1,0,95704,-12095,63318,-12690,96365,-18242,97026,8460,92003,-1124,83543,-24719,1,-31395,99273,-21216,98678,-21018,1,-27165,93126,-39458,1,-19233,88793,-31565,81428,-23728,89095,-31857,69531,-41573,1
0,0,28409,-31818,0,0,68182,-1,30682,95833,64394,6439,34848,-84848,0,0,59091,-35985,45076,-80682,0,0,0,0,24242,17803,1,-23864,6061,-48485,16288,-70076,0,0,1
1,0,94490,-49311,1,-3692,98898,-87052,90083,66942,1,-10104,1,-12493,1,-15017,1,-17681,1,-20491,1,-23452,1,-26571,1,-29852,1,-33304,1,-36931,1,-40740,1,-44739,1
0,0,0,0,0,0,0,0,0,0,62195,1,0,0,0,0,36585,-71951,56098,-1,0,0,0,0,0,0,1,10976,0,0,0,0,0,0,1
1,0,99449,526,84082,-11313,88237,-16431,99061,-6257,96484,-7496,85221,2966,87161,-20848,93881,-12977,98298,-8935,89876,75,87836,-5882,93368,-19872,87579,-17806,94294,-16581,80253,-25741,76586,-27794,1
0,0,10135,10811,0,0,0,0,54730,82432,31081,1,0,0,0,0,37162,-1,33108,-1,0,0,0,0,-42568,-1,1,-1,55405,-23649,0,0,0,0,1
1,0,1,-57224,99150,-73371,89518,-97450,1,-35818,1,-23229,62890,-86402,1,-57535,1,-79603,76771,-88952,96601,-1,70120,-74896,61946,-76904,53777,-77986,81020,-1,1,-1,30445,-76112,1
0,0,65909,-62879,0,0,0,0,77273,1,1,-28030,0,0,0,0,62121,-22727,84091,-1,1,-1,0,0,0,0,1,-93939,-12879,-93182,0,0,0,0,1
1,0,86284,19310,80920,41149,67203,55785,54559,69962,36705,81533,19617,85671,-4061,86284,-17241,75785,-34100,65747,-48199,56092,-60230,40996,-59234,25747,-63038,8818,-57241,-7816,-54866,-19923,-42912,-31954,1
0,0,42000,-61000,0,0,1,-1,90000,1,43000,64000,0,0,0,0,67000,-29000,84000,-1,0,0,0,0,21000,68000,1,22000,0,0,0,0,0,0,1
1,0,1,23395,91404,52013,78020,72144,47660,84222,27639,91730,9467,88248,-21980,91404,-34168,75517,-51360,64527,-64527,44614,-74102,29162,-70838,3591,-71731,-11943,-64962,-28183,-51251,-44505,-37432,-53319,1
0,0,91353,81586,-72973,1,-39466,55735,5405,29730,-18599,-10241,-3158,-8970,1401,-3403,1108,-537,342,97,48,75,-3,19,-3,2,-1,0,0,0,0,0,0,0,1
1,0,21429,-9524,33333,7143,19048,19048,23810,9524,40476,2381,30952,-4762,30952,-4762,28571,-11905,33333,4762,30952,0,21429,-11905,35714,-4762,22109,-2290,19048,0,16997,-2034,14694,-1877,1
0,0,1,-14754,1,4918,57377,-1639,65574,1639,85246,-3279,72131,0,68852,-16393,19672,-14754,65558,-17176,67213,3279,1,-29508,31148,-34426,52385,-20325,32787,-3279,27869,-44262,49180,-6557,1
1,0,98182,0,88627,3131,86249,4572,80000,0,69091,4545,79343,8436,77118,9579,62727,25455,68182,12727,70674,12608,68604,13493,74545,22727,64581,15088,67273,2727,60715,16465,58840,17077,1
0,0,39286,52381,-78824,11342,-16628,-76378,66667,1190,82143,40476,-67230,30729,-34797,-63668,46429,15476,54762,5952,-51830,44961,-47651,-47594,32143,70238,51971,38848,57143,39286,-54891,-29915,25441,-55837,1
1,0,86889,-7111,1,-2494,1,-6889,87778,222,83556,-6444,1,-7287,1,-20000,86889,5333,88000,-3778,1,-11526,1,-18667,84444,3556,1,-14162,82222,-14667,1,-15609,1,-44222,1
0,0,43636,-12727,58182,-14545,18182,-67273,34545,-3636,29091,-5455,29091,29091,36364,-41818,20000,-1818,36364,5455,12727,49091,61818,16364,32727,16364,41098,-7027,34545,-5455,12727,-36364,29091,-29091,1
1,0,1,-92453,1,75472,49057,-5660,62264,0,1,-54,45283,7547,62264,-5660,98878,-85,52830,0,52830,7547,95190,-112,1,79245,92192,-128,94340,-1,1,43396,43396,-11321,1
